"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Lepismium_bolivianum","P16","Entomodestes_leucotis","B15",0
"Lepismium_bolivianum","P16","Eubucco_versicolor","B16",0
"Lepismium_bolivianum","P16","Euphonia_xanthogaster","B17",0
"Lepismium_bolivianum","P16","Hapalopsittaca_melanotis","B18",0
"Lepismium_bolivianum","P16","Lipaugus_uropygialis","B19",0
"Lepismium_bolivianum","P16","Mionectes_striaticollis","B20",0
"Lepismium_bolivianum","P16","Parula_pitiayumi","B21",0
"Lepismium_bolivianum","P16","Patagioenas_fasciata","B22",0
"Lepismium_bolivianum","P16","Patagioenas_plumbea","B23",0
"Lepismium_bolivianum","P16","Penelope_montagnii","B24",0
"Lepismium_bolivianum","P16","Pheucticus_aureoventris","B25",0
"Lepismium_bolivianum","P16","Phyllomyias_uropygialis","B26",0
"Lepismium_bolivianum","P16","Pionus_sordidus","B27",0
"Lepismium_bolivianum","P16","Pionus_tumultuosus","B28",0
"Lepismium_bolivianum","P16","Pipreola_frontalis","B29",0
"Lepismium_bolivianum","P16","Pipreola_intermedia","B30",0
"Lepismium_bolivianum","P16","Psarocolius_decumanus","B31",0
"Lepismium_bolivianum","P16","Pyrrhura_molinae","B32",0
"Lepismium_bolivianum","P16","Tangara_vassorii","B33",0
"Lepismium_bolivianum","P16","Tangara_xantocephala","B34",0
"Lepismium_bolivianum","P16","Thraupis_cyanocephala","B35",0
"Lepismium_bolivianum","P16","Thraupis_palmarum","B36",0
"Lepismium_bolivianum","P16","Thraupis_sayaca","B37",0
"Lepismium_bolivianum","P16","Trogon_personatus","B38",0
"Lepismium_bolivianum","P16","Turdus_albicollis","B39",0
"Lepismium_bolivianum","P16","Turdus_serranus","B40",0
"Lepismium_bolivianum","P16","Veniliornis_nigriceps","B41",0
"Miconia_boliviensis","P17","Anisognathus_igniventris","B01",0
"Miconia_boliviensis","P17","Anisognathus_somptuosus","B02",0
"Miconia_boliviensis","P17","Aratinga_mitrata","B03",0
"Miconia_boliviensis","P17","Atlapetes_rufinucha","B04",0
"Miconia_boliviensis","P17","Aulacorhynchus_coeruleicintis","B05",0
"Miconia_boliviensis","P17","Catharus_ustulatus","B06",0
"Miconia_boliviensis","P17","Chiroxiphia_boliviana","B07",0
"Miconia_boliviensis","P17","Chlorophonia_cyanea","B08",0
"Miconia_boliviensis","P17","Chlorospingus_ophthalmicus","B09",0
"Miconia_boliviensis","P17","Cyanocoras_cyanomelas","B10",0
"Miconia_boliviensis","P17","Cyanocorax_yncas","B11",0
"Miconia_boliviensis","P17","Diglossa_cyanea","B12",0
"Miconia_boliviensis","P17","Elaenia_obscura","B13",0
"Miconia_boliviensis","P17","Elaenia_pallatangae","B14",0
"Miconia_boliviensis","P17","Entomodestes_leucotis","B15",0
"Miconia_boliviensis","P17","Eubucco_versicolor","B16",0
"Miconia_boliviensis","P17","Euphonia_xanthogaster","B17",0
"Miconia_boliviensis","P17","Hapalopsittaca_melanotis","B18",0
"Miconia_boliviensis","P17","Lipaugus_uropygialis","B19",0
"Miconia_boliviensis","P17","Mionectes_striaticollis","B20",0
"Miconia_boliviensis","P17","Parula_pitiayumi","B21",0
"Miconia_boliviensis","P17","Patagioenas_fasciata","B22",0
"Miconia_boliviensis","P17","Patagioenas_plumbea","B23",0
"Miconia_boliviensis","P17","Penelope_montagnii","B24",0
"Miconia_boliviensis","P17","Pheucticus_aureoventris","B25",0
"Miconia_boliviensis","P17","Phyllomyias_uropygialis","B26",0
"Miconia_boliviensis","P17","Pionus_sordidus","B27",0
"Miconia_boliviensis","P17","Pionus_tumultuosus","B28",0
"Miconia_boliviensis","P17","Pipreola_frontalis","B29",0
"Miconia_boliviensis","P17","Pipreola_intermedia","B30",0
"Miconia_boliviensis","P17","Psarocolius_decumanus","B31",0
"Miconia_boliviensis","P17","Pyrrhura_molinae","B32",0
"Miconia_boliviensis","P17","Tangara_vassorii","B33",2
"Miconia_boliviensis","P17","Tangara_xantocephala","B34",0
"Miconia_boliviensis","P17","Thraupis_cyanocephala","B35",2
"Miconia_boliviensis","P17","Thraupis_palmarum","B36",0
"Miconia_boliviensis","P17","Thraupis_sayaca","B37",0
"Miconia_boliviensis","P17","Trogon_personatus","B38",0
"Miconia_boliviensis","P17","Turdus_albicollis","B39",0
"Miconia_boliviensis","P17","Turdus_serranus","B40",0
"Miconia_boliviensis","P17","Veniliornis_nigriceps","B41",0
"Miconia_brittonii","P18","Anisognathus_igniventris","B01",0
"Miconia_brittonii","P18","Anisognathus_somptuosus","B02",1
"Miconia_brittonii","P18","Aratinga_mitrata","B03",0
"Miconia_brittonii","P18","Atlapetes_rufinucha","B04",0
"Miconia_brittonii","P18","Aulacorhynchus_coeruleicintis","B05",0
"Miconia_brittonii","P18","Catharus_ustulatus","B06",0
"Miconia_brittonii","P18","Chiroxiphia_boliviana","B07",0
"Miconia_brittonii","P18","Chlorophonia_cyanea","B08",0
