Country	Species	KippsIndex	BillLength	BillWidth	Bodymass
Ecuador	Arremon_torquatus	0.09	18.2	8.2	40.7
Ecuador	Atlapetes_latinuchus	0.12	15.1	9.3	23.56
Ecuador	Atlapetes_tricolor	0.12	16.5	9.8	36.5
Ecuador	Aulacorhynchus_prasinus	0.17	75.6	26.6	170.56
Ecuador	Basileuterus_tristriatus	0.13	13.8	6.9	11
Ecuador	Buthraupis_eximia	0.20	20.5	12.4	62.7
Ecuador	Buthraupis_montana	0.21	21.7	13.3	87.08
Ecuador	Cacicus_uropygialis	0.20	32.4	13.1	61.17
Ecuador	Catamenia_inornata	0.16	9.5	6.9	13.4
Ecuador	Catharus_ustulatus	0.32	19.8	9.5	30.3
Ecuador	Chamaepetes_goudotii	0.24	37.2	17.5	727.67
Ecuador	Chlorochrysa_calliparaea	0.24	14.7	7.5	17
Ecuador	Chlorophanes_spiza	0.23	17.5	7.8	19
Ecuador	Chlorornis_riefferii	0.16	19.7	12.0	53
Ecuador	Chlorospingus_canigularis	0.17	12.4	7.4	18
Ecuador	Chlorospingus_flavigularis	0.16	17.0	9.9	25.6
Ecuador	Chlorospingus_ophthalmicus	0.16	14.1	7.7	19.98
Ecuador	Cissopis_leverianus	0.12	19.4	13.1	76
Ecuador	Coereba_flaveola	0.19	13.9	5.5	10.01
Ecuador	Conirostrum_albifrons	0.34	13.6	7.0	14.9
Ecuador	Creurgops_verticalis	0.18	17.9	9.0	24
Ecuador	Cyanocorax_yncas	0.08	29.7	15.1	78.5
Ecuador	Cyanolyca_turcosa	0.11	34.7	15.4	103.97
Ecuador	Cyclarhis_gujanensis	0.13	19.4	10.4	28.8
Ecuador	Dacnis_cayana	0.24	16.3	7.7	13
Ecuador	Dacnis_flaviventer	0.21	14.4	7.1	13
Ecuador	Dacnis_lineata	0.25	13.6	7.3	11
Ecuador	Diglossa_albilatera	0.16	13.4	4.9	9.84
Ecuador	Diglossa_caerulescens	0.16	15.0	6.3	14.44
Ecuador	Diglossa_cyanea	0.17	17.3	7.2	17.04
Ecuador	Diglossa_humeralis	0.16	14.9	5.3	13.15
Ecuador	Dryocopus_lineatus	0.24	42.4	15.7	183.19
Ecuador	Dubusia_taeniata	0.13	20.1	11.5	37
Ecuador	Elaenia_albiceps	0.23	15.8	8.5	15.5
Ecuador	Elaenia_pallatangae	0.21	13.1	7.1	17.8
Ecuador	Eubucco_bourcierii	0.25	21.6	13.3	37
Ecuador	Euphonia_laniirostris	0.23	12.2	7.7	15
Ecuador	Euphonia_xanthogaster	0.22	11.7	7.4	13
Ecuador	Hemispingus_frontalis	0.15	15.4	6.6	17
Ecuador	Hemispingus_superciliaris	0.16	14.6	7.1	14
Ecuador	Hemispingus_verticalis	0.18	11.4	5.1	14
