Country	Species	meanL	meanD1	meanHeight	CropMass
Ecuador	Palicourea_201	6.9	8.5	5.0	93.5
Ecuador	Palicourea_302	6.1	5.2	4.0	13.7
Ecuador	Palicourea_thyrsiflora	4.4	4.7	3.0	83.9
Ecuador	Persea_weberbaueri	16.1	13.5	18.0	2219.3
Ecuador	Piper_102	213.4	8.5	3.0	112.6
Ecuador	Rubus_100	6.2	3.9	25.0	58.0
Ecuador	Sapium_200	15.6	17.1	18.0	237.4
Ecuador	Schefflera_100	5.5	4.8	18.0	550.3
Ecuador	Schefflera_300	20.5	21.5	6.0	1033.3
Ecuador	Schefflera_angulata	8.9	9.8	3.0	133.3
Ecuador	Siparuna_aspera	7.7	7.1	4.0	12.2
Ecuador	Symplocos_sulcinervius	10.2	9.4	6.0	NA
Ecuador	Urera_100	6.5	7.0	1.5	11.3
Ecuador	Viburnum_cf_obtectum	9.8	12.5	10.0	423.5
Peru	Anthurium_obtusum	2.7	2.9	5.0	0.8
Peru	Banara_arguta	8.9	9.0	5.2	241.5
Peru	Bejaria_aestuans	6.3	7.2	3.1	49.0
Peru	Brunellia_stenoptera	2.8	4.5	14.0	143.7
Peru	Casearia_corymbosa	10.5	10.0	10.6	1778.6
Peru	Cavendishia_bracteata	6.4	8.5	4.1	77.9
Peru	Cecropia_polystachya	71.5	20.4	13.0	6813.4
Peru	Cecropia_strigosa	170.3	9.2	12.1	3813.1
Peru	Cestrum_parqui	6.6	5.9	3.9	470.8
Peru	Cestrum_stipulatum	9.5	6.9	4.0	225.0
Peru	Clusia_alata	30.3	38.4	8.4	2986.2
Peru	Clusia_elliptica	21.6	25.9	13.2	2274.0
Peru	Coussarea_sp1	10.3	7.8	2.0	2.7
Peru	Croton_rusbyi	4.9	6.5	6.8	7.2
Peru	Dendrophthora_chrysostachya	4.2	4.5	6.0	2.1
Peru	Dendrophthora_densifolia	3.7	3.7	1.5	6.6
Peru	Dendrophthora_paucifolia	3.8	3.0	2.0	4.3
Peru	Dendrophthora_rotundata	3.9	4.1	2.8	1.9
Peru	Diogenesia_vargasiana	4.1	4.2	5.7	140.7
Peru	Disterigma_alaternoides	6.0	5.4	3.3	24.5
Peru	Disterigma_ovatum	6.0	5.4	3.3	24.5
Peru	Elaeagia_mariae	2.7	2.8	9.8	22.4
Peru	Endlicheria_sp	27.7	12.3	13.8	3986.1
Peru	Ficus_americana	4.7	3.7	15.0	606.7
Peru	Ficus_coerulescens	5.2	6.2	15.0	5400.0
Peru	Freziera_karsteniana	5.5	3.8	10.5	112.9
Peru	Freziera_reticulata	11.9	10.4	11.1	785.3
Peru	Freziera_uncinata	8.0	6.4	9.1	346.6
Peru	Gaultheria_bracteata	4.6	6.1	2.3	41.3
Peru	Gaultheria_buxifolia	5.3	6.6	1.8	31.3
Peru	Gaultheria_reticulata	4.2	5.3	2.8	86.3
Peru	Graffenrieda_cucullata	5.6	4.7	8.3	58.1
Peru	Guatteria_duodecima	22.3	17.4	13.3	7372.2
Peru	Guatteria_terminalis	8.7	5.4	7.3	427.1
Peru	Guettarda_crispiflora	9.2	8.5	10.5	1448.6
Peru	Hedyosmum_angustifolium	7.9	7.2	4.9	269.8
Peru	Hedyosmum_cuatrecazanum	15.1	12.2	7.2	331.8
Peru	Hedyosmum_tepuiense	10.2	7.7	5.3	583.5
Peru	Hesperomeles_ferruginea	7.9	11.1	3.5	468.5
