	Anisognathus_somptuosus	Aratinga_leucophthalma	Aulacorhynchus_derbianus	Catharus_ustulatus	Cephalopterus_ornatus	Chiroxiphia_boliviana	Chlorochrysa_calliparaea	Chlorophonia_cyanea	Chlorospingus_flavigularis	Chlorospingus_ophthalmicus	Chlorospingus_parvirostris	Colaptes_rubiginosus	Cyanerpes_caeruleus	Cyanocorax_yncas	Dacnis_cayana	Diglossa_caerulescens	Diglossa_cyanea	Diglossa_glauca	Elaenia_albiceps	Elaenia_pallatangae	Entomodestes_leucotis	Eubucco_versicolor	Euphonia_mesochrysa	Euphonia_xanthogaster	Iridophanes_pulcherrimus	Iridosornis_analis	Lepidothrix_coeruleocapilla	Lophotriccus_pileatus	Mionectes_striaticollis	Myadestes_ralloides	Ortalis_guttata	Patagioenas_plumbea	Penelope_montagnii	Pharomachrus_antisianus	Pharomachrus_auriceps	Pipreola_intermedia	Piranga_rubra	Psarocolius_angustifrons	Psarocolius_atrovirens	Ramphocelus_carbo	Rupicola_peruvianus	Saltator_maximus	Tangara_arthus	Tangara_chilensis	Tangara_chrysotis	Tangara_cyanicollis	Tangara_gyrola	Tangara_nigroviridis	Tangara_punctata	Tangara_ruficervix	Tangara_vassorii	Tangara_xanthocephala	Thraupis_bonariensis	Thraupis_cyanocephala	Thraupis_episcopus	Thraupis_palmarum	Trichothraupis_melanops	Trogon_personatus	Turdus_chiguanco	Xenopipo_unicolor	Zimmerius_bolivianus
Miconia_cyanocarpa	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0	0	2	0	0	0	0	0	0	0
Miconia_egensis	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	8	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	13	0	25	0	8	9	0	0	3	1	0	0	0	0	0	0	0	0
Miconia_hygrophila	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_longifolia	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_myriantha	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_prasina	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_sp3	0	0	0	5	0	0	5	0	10	1	0	0	0	0	0	0	1	62	0	1	0	5	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	24	1	1	13	6	0	32	2	1	7	0	1	1	0	1	5	2	2	0	0	3	1
Miconia_sp6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Miconia_spennerostachya	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0
Myrcia_fallax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myrsine_coriacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neea_sp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ocotea_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Palicourea_lineata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peristethium_polystachyum	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	1	1	0	0	3	3	0	0	0	1	18	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	2
Phoradendron_chrysocladon	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleurothyrium_trianae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubus_floribundus	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Schefflera_mathewsii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Siparuna_sp	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smilax_domingensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symplocos_arechea	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trema_micrantha	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0
Turpinia_occidentalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Viburnum_hallii	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Vismia_gracilis	0	0	0	1	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Zanthoxylum_mantaro	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	2	0	4	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
