"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Cestrum_racemosum","P04","Aulacorhynchus_prasinus","B07",0
"Cestrum_racemosum","P04","Arremon_brunneinucha","B05",0
"Cestrum_racemosum","P04","Buthraupis_montana","B08",0
"Cestrum_racemosum","P04","Cacicus_chrysonotus","B09",0
"Cestrum_racemosum","P04","Wilsonia_canadensis","B39",0
"Cestrum_racemosum","P04","Chamaepetes_goudotii","B10",6
"Cestrum_racemosum","P04","Chlorornis_riefferii","B11",0
"Cestrum_racemosum","P04","Chlorospingus_ophthalmicus","B12",19
"Cestrum_racemosum","P04","Cnemoscopus_rubrirostris","B13",0
"Cestrum_racemosum","P04","Patagioenas_subvinacea","B25",1
"Cestrum_racemosum","P04","Conirostrum_albifrons","B14",0
"Cestrum_racemosum","P04","Dendroica_fusca","B15",0
"Cestrum_racemosum","P04","Diglossa_caerulescens","B16",0
"Cestrum_racemosum","P04","Diglossa_cyanea","B17",3
"Cestrum_racemosum","P04","Euphonia_xanthogaster","B18",0
"Cestrum_racemosum","P04","Leptopogon_rufipectus","B19",0
"Cestrum_racemosum","P04","Lipaugus_fuscocinereus","B20",0
"Cestrum_racemosum","P04","Mecocerculus_poecilocercus","B21",3
"Cestrum_racemosum","P04","Mionectes_striaticollis","B22",2
"Cestrum_racemosum","P04","Pachyramphus_polychopterus","B23",0
"Cestrum_racemosum","P04","Pachyramphus_versicolor","B24",0
"Cestrum_racemosum","P04","Penelope_montagnii","B26",2
"Cestrum_racemosum","P04","Phyllomyias_nigrocapillus","B27",0
"Cestrum_racemosum","P04","Pipraeidea_melanonota","B28",0
"Cestrum_racemosum","P04","Pipreola_riefferii","B29",0
"Cestrum_racemosum","P04","Poecilotriccus_ruficeps","B30",0
"Cestrum_racemosum","P04","Tangara_heinei","B31",1
"Cestrum_racemosum","P04","Tangara_labradorides","B32",0
"Cestrum_racemosum","P04","Tangara_nigroviridis","B33",6
"Cestrum_racemosum","P04","Tangara_vassorii","B34",0
"Cestrum_racemosum","P04","Tangara_xanthocephala","B35",0
"Cestrum_racemosum","P04","Thraupis_cyanocephala","B36",0
"Cestrum_racemosum","P04","Trogon_personatus","B37",0
"Cestrum_racemosum","P04","Turdus_serranus","B38",6
"Cissus_cyssioides","P05","Andigena_hypoglauca","B01",0
"Cissus_cyssioides","P05","Andigena_nigrirostris","B02",0
"Cissus_cyssioides","P05","Anisognathus_lacrymosus","B03",0
"Cissus_cyssioides","P05","Anisognathus_somptuosus","B04",0
"Cissus_cyssioides","P05","Atlapetes_schistaceus","B06",0
"Cissus_cyssioides","P05","Aulacorhynchus_prasinus","B07",0
"Cissus_cyssioides","P05","Arremon_brunneinucha","B05",0
"Cissus_cyssioides","P05","Buthraupis_montana","B08",2
"Cissus_cyssioides","P05","Cacicus_chrysonotus","B09",0
"Cissus_cyssioides","P05","Wilsonia_canadensis","B39",0
"Cissus_cyssioides","P05","Chamaepetes_goudotii","B10",0
"Cissus_cyssioides","P05","Chlorornis_riefferii","B11",0
"Cissus_cyssioides","P05","Chlorospingus_ophthalmicus","B12",0
"Cissus_cyssioides","P05","Cnemoscopus_rubrirostris","B13",1
"Cissus_cyssioides","P05","Patagioenas_subvinacea","B25",0
"Cissus_cyssioides","P05","Conirostrum_albifrons","B14",0
"Cissus_cyssioides","P05","Dendroica_fusca","B15",0
"Cissus_cyssioides","P05","Diglossa_caerulescens","B16",0
"Cissus_cyssioides","P05","Diglossa_cyanea","B17",0
"Cissus_cyssioides","P05","Euphonia_xanthogaster","B18",0
"Cissus_cyssioides","P05","Leptopogon_rufipectus","B19",0
"Cissus_cyssioides","P05","Lipaugus_fuscocinereus","B20",3
"Cissus_cyssioides","P05","Mecocerculus_poecilocercus","B21",0
"Cissus_cyssioides","P05","Mionectes_striaticollis","B22",0
"Cissus_cyssioides","P05","Pachyramphus_polychopterus","B23",0
"Cissus_cyssioides","P05","Pachyramphus_versicolor","B24",0
"Cissus_cyssioides","P05","Penelope_montagnii","B26",0
"Cissus_cyssioides","P05","Phyllomyias_nigrocapillus","B27",0
"Cissus_cyssioides","P05","Pipraeidea_melanonota","B28",0
"Cissus_cyssioides","P05","Pipreola_riefferii","B29",0
"Cissus_cyssioides","P05","Poecilotriccus_ruficeps","B30",0
"Cissus_cyssioides","P05","Tangara_heinei","B31",0
"Cissus_cyssioides","P05","Tangara_labradorides","B32",0
"Cissus_cyssioides","P05","Tangara_nigroviridis","B33",0
"Cissus_cyssioides","P05","Tangara_vassorii","B34",0
"Cissus_cyssioides","P05","Tangara_xanthocephala","B35",0
"Cissus_cyssioides","P05","Thraupis_cyanocephala","B36",0
"Cissus_cyssioides","P05","Trogon_personatus","B37",0
"Cissus_cyssioides","P05","Turdus_serranus","B38",0
"Cladocolea_archeri","P06","Andigena_hypoglauca","B01",0
"Cladocolea_archeri","P06","Andigena_nigrirostris","B02",0
"Cladocolea_archeri","P06","Anisognathus_lacrymosus","B03",0
"Cladocolea_archeri","P06","Anisognathus_somptuosus","B04",0
